Survey Item Category,Survey Item,Response
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",I wish it was open more often and the movie theater operated
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",The theatre is broken.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Commence outreach towards youth
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",No additional information to add
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",I am not familiar with this facility
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",I feel the MYEC needs to be updated
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","There needs to be new updated equipment for the youth, movie equipment needs to be updated, more rides for younger children, technology equipment, plus a studio. Doing the summer the City of Austin needs to fund summer programs for the teens. If they can find money I am sure they could find money to keep the children from being in the streets getting into trouble. The City of Austin also needs to hire staff that fits the demographics of the community."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","It needs to be updated.  Technology changes rapidly and the kids change just as fast, no matter their economic background."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Rude staff at the ticket booth
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",There needs to be programs for the kids. Fund the programs. The facility should be for the community
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",The activities offered at the MYEC needs to change along with the needs of the community. City needs to provide additional programs and funding for repair & maintenance of movie theatre ASAP. The community would benefit from mindfulness cl
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",N/A
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","I am not sure, but feel that it could do more to offer events or use of the center. My daughters group has meetings & social Gatherings there."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",The youth don't live in the area any more.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Not enough youth programming at MYEC. Not friendly to community organizations that want to utilize facility for youth programming.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",It was quite empty during the times I visited...
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",The MYEC needs a library
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","newer movies, and maybe more snack bar options"
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Who goes there?  I never see ads for activities.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Need more ADV * organizations. & groups participation.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",It does meet the needs of youth in East Austin.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","Given the change in demographics, I believe a current survey of youth and parents  of color in service area is required."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Needs more things for the kids to do and half the games broken
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","My kids love arcade games and very often, yours don't work.  The game room is dirty, machines feel gross.  The dining area is good though as is the bowling.  I've not been in the skating rink"
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",It needs a  Refresh and activities relevant to the original and new residents.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Maintenance on the games would be more appealing.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Financial constraints
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Have not used for youth activities
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",There are not enough youth centered activities.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",It's never open and does not have consistent after school programs for youth
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","One thing I would recommend considering for programming are opportunities for youth voice and leadership, such as inviting youth to be a part of identifying music or special activities to book, youth performers, etc. While I don't know a lot about the activities at the MYEC besides what's on the website, from my work at Creative Action I think there are always opportunities to continue to strengthen youth voice in the community in these types of spaces."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","You set it up that way. The lady that runs it does her best but everything costs money. She is always having events and is nice to everyone. I have had family reunions, bday parties, and company parties their."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Due to the various activities offered at the Center I would think that a lot of needs are being met.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Facility should be ran by actual PARD staff. The management company is not as connected to the community as City staff.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","The cost unaffordable for just recreational activities, discounts on certain or even free if you have food stamps. Reach out to other free rec centers for combining efforts to the community. Local business fair, free giveaways etc. market, free meeting space for neighborhood Assn, MLK contact team and more"
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","The facility doesn't seem accessible enough to service providers, community groups, and nonprofits who could use the space to provide activities to the community and youth in particular.  Accessibility includes available times, rental rates, amenities, and types of uses (performance, maker space, etc.)."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",It’s been a hangout where youth congregate without participating or joining activities.  East Austin needs theaters and is the only part of town that does not have current theaters showing current movies
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",the facility should be more accessible to youth
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","Rude employees, advertised films they never show, unhealthy food, hostile employees, not clean."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Need more academic related/ enrichment type activities during the summer.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Need more free things for them to do
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",The community does not use it. It is not a friendly center.  There were surveys before it was built and now survey cause its underused and using up taxpayer money.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","MYEC was supposed to be a safe place for East Austin teens to hang out, but as it's structured, its geared more to parents attending with their children.  The staff is not screened or trained in youth development, the cost is low, but still prohibitive for low income youth.  Many youth orgs don't use the facility because there are not price breaks for non-profit youth programs. The MYEC contractor does not seem to have incentives to attract more local youth.  If they make their budget with mostly corporate events, the City seems happy.   The operations for the last 15 years don't seem to fit the purpose or intention."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Not applicable.   feel it meet the needs of the youth in Austin
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Seems mostly under attended. I feel the space could be more of resource for youth in East Austin than it currently is.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","the center needs to have more technology training, STEAM programming, job search (summer) for the kids. Help prepare for work in the community."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",The management there is not friendly and seems to be just profiting from their city contract
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",outdated equipment
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","It's outreach program is weak in my opinion, and it does not due enough for at risk youth."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",space needs updates and youth led programming.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","There are a lot of aspects of the millennium youth Entertainment complex that are dated. I think seating could be improved in the theater and I know some of the games in the arcade have been updated, but there are still a few there that were popular when I was a kid, which would be ok if they were in good shape."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Most of the kids in the general area come from homes where they can't afford to have the youth visit the place
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",The cost.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",During spring break they are closed or someone else has rented out the facility.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",The center was built to give our youth a safe and inexpensive place to go. Most parents can not afford for the youth to go there because of the cost. Maybe if there was a reasonable rate either monthly or annually for the family we could attend more.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Community is not kept informed of programming
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","Really think , it needs to be promoted more the youth .  The neighborhood has changed . More promotion to the new neighbors ."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","The facility typically appears empty, closed and underutilized.  The posted hours are restrictive and the website is extremely outdated.  The staff is often unavailable and when they do appear, they are generally rude."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",good!
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","Honestly, I haven’t heard of any activity offerings outside of adult activities taking place at MYEC."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",there is little outreach to the youth in the schools in east austin for the minority population of the city
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","I don't really know what their needs are, but last time I was there (for adult skate night), the food was pretty bad, at least what the Center offered, junky pizza or hot dogs? East Austin youth need health education and support built into their entertainment."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",The kids in the area cannot afford the prices and the food is too expensive.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","This center does an abysmal job providing customer service!  The building is understaffed.  The equipment is old and broken.  They are awful at marketing their programs.  This building has such great potential, but is poorly managed."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I have rented the facility for events. MYEC being closed Monday and Tuesday sometimes make it difficult to reach and communicate with the staff during business hours.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,N/A..........
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,The location serves a really vulnerable area of Austin. I hope you are asking these questions in order to better serve the population as opposed to consider reducing service or shutting the center down.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Not open to the public
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Every time we have thought about going they ate closed.  If it is going to cater to the community it needs to be open more
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,The word just needs to get out their more about their activities.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I have only participated in a private event for City employees there. My kids never used the facility when they lived at home in East Austin.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,The arcade needs some better upkeep. Many games were not functioning last I visited.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,None
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Thursday through Sunday would be a great idea.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I am a senior person and only go to the MYEC for a specific reason. My church children and youth go there fairly regularly and love going. Although I personally don’t go be often whenever I am there there are many people enjoying all activities.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Sometimes special events aren't known in advance and shut down the skating...
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I like that the youth have a place to do other activities.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I have went a few times on the weekends and it will be closed.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Feels very outdated.  Updated lighting could help
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,If there were teen and tween activities being monitored by mature adults then keeping the hours of 3-8pm would be great
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,1p to 10p Monday thru Thursday   12n to 12am Friday and Saturday   Closed on Sunday
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Just remodel FIX up.  I am sure the YOUTHS ON THE EAST SIDE NEEDS ENTERTAINMENT
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I dont have kids and with the rich white young couples.shoving out my neighbors.and turning up their nose at me when I wave and say hello, you know, like this was , back in the day, when you had NEIGHBORS who were there not just for neighborhood watch, or that web forum, to report whenever black men, teenagers included, are seen suspiciously walking down the street and... looking at stuff!    Here's where I'm going with this rant that's just ramping up to full speed.    With the speed of gentrification, I dont think there will be a NEED for a Youth Center  because the youth in East Austin will be at their horse riding lessons, ballet, or whatever it is that rich jerks are up to these days.      Not that it matters, but I'm pretty white, though not translucent like the Scandinavians.  These days, with the Middle.Eastern mother, my claim to whiteness is come into question in certain circles."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Never heard of it.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I don’t know what the hours are right now but everyone I drive by it looks like it’s not even open.  So sad it needs upgrading.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I know nothing about the facility.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,More birthday party options and better food options...would love to be able to bring carrot sticks and fruit to supplement pizza etc.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,The calendar is poorly set up & hard to understand.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I don't live in the community, but have attended events at MYEC."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,it should become a cultural center and education center.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I have only used it as a polling location, and it is very convenient fo me. The facilities seem nice. I don't have any children the appropriate age to participate in the programs at this time."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Hours of operation of the office are limited which poses a challenge when calling for business purposes.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Parking lot empty most of the time, few people there, run down and out of order."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"They will open on days they are normally closed for special events.  I had events on Sundays.  The Theater is closed for 2 years, as I understand it due to lack of funding from the City of Austin.  The Theater funding should happen as soon as possible"
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Should be open to the public more than just on the weekend.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"When I directed a university honors program, I scheduled activities at the MYEC every other month or so.  We enjoyed group activities like roller skating and bowling. The students enjoyed the facility and the activity. I have also attended one or two book signing events that were delightful and informative. I would like to see the MYEC be the local venue for many more activities for young people."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Hours are ok.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Recommend more evening daily hours for community based group meeting/activities, especially for movies and bowling."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,I suppose with more funding there could be expanded hours!
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"It needs to be open at least 6, if not 7 days a week"
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Because the big events who pay more money they close the building any time even last minute
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"I find that the web page is frequently updated too late or not at all when changes to programming or hours are different than typical. A couple of times, the information has been incorrect altogether."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,The center could be open on Sunday afternoons.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,The center shouuld be open at lease Tuesday through Sunday for the community use.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,Sometimes it's unexpectedly or inconveniently closed
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"Equipment not available or not working. Skating not open when needed, and facility closed when kids are out of school. Need themed fun days and new activities."
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,The hours are pefect it gives kids time to have fun and go home before it gets to late.
Community Needs,Please provide any additional feedback you may have about the MYEC's days and hours of operation.,"The mellinium is awesome the kids in the neighborhood need to have a place to go and have fun, and get a way  and be kids."
